id,brand,model,variant,cleaned,matched_candidate,score,reason
139163,XPENG,G6,STANDARD RANGE,XPENG G6 STANDARD RANGE,FORD NO GROUP RANGER 22 XL STANDARD DUAL CAB,79,no match at all
33414,LAND-ROVER,RANGE-ROVER-VOGUE,VOGUE SE,LANDROVER RANGEROVERVOGUE VOGUE SE,LAND ROVER NO GROUP RANGE ROVER VOGUE 30,74,no match at all
39484,MERCEDES-BENZ,E300,300 CABRIOLET,MERCEDESBENZ E300 300 CABRIOLET,MERCEDESBENZ SCLASS S560 E 30 EQ POWER DESIGNO PAINT,68,no match at all
39874,MERCEDES-BENZ,GLA200,200 (CBU),MERCEDESBENZ GLA200 200 CBU,MERCEDESBENZ ECLASS E200 18,80,no match at all
39914,MERCEDES-BENZ,GLA200,200 (CBU),MERCEDESBENZ GLA200 200 CBU,MERCEDESBENZ ECLASS E200 18,80,no match at all
69227,BRABUS,B40,-,BRABUS B40 ,MERCEDESBENZ NO GROUP BRABUS 30 B50,90,no match at all
5786,BUFORI,LA JOYA,MKIII,BUFORI LA JOYA MKIII,NISSAN NO GROUP LATIO 18 COMFORT,50,no match at all
69451,EXCALIBUR,PHAETON,SERIES IV,EXCALIBUR PHAETON SERIES IV,BMW 7 SERIES 750E 30 XDRIVE M SPORT PURE EXCELLENCE,56,no match at all
6693,GOLDEN DRAGON,X5,LUXURY,GOLDEN DRAGON X5 LUXURY,NISSAN NO GROUP GRAND LIVINA 16 LUXURY,61,no match at all
6134,CHRYSLER,300,V6,CHRYSLER 300 V6,NISSAN NO GROUP NAVARA 25 NP300 V BLACK SERIES DUAL CAB,62,no match at all
27357,GOLDEN DRAGON,X5,LUXURY,GOLDEN DRAGON X5 LUXURY,NISSAN NO GROUP GRAND LIVINA 16 LUXURY,61,no match at all
3794,ALFA-ROMEO,8C-COMPETIZION,30CI (CBU),ALFAROMEO 8CCOMPETIZION 30CI CBU,BMW M M4 30 COMPETITION,61,no match at all
6691,GOLDEN DRAGON,X5,LUXURY,GOLDEN DRAGON X5 LUXURY,NISSAN NO GROUP GRAND LIVINA 16 LUXURY,61,no match at all
56069,ROLLS-ROYCE,GHOST,-,ROLLSROYCE GHOST ,ROLLSROYCE NO GROUP WRAITH 66,75,no match at all
6694,GOLDEN DRAGON,X5,LUXURY,GOLDEN DRAGON X5 LUXURY,NISSAN NO GROUP GRAND LIVINA 16 LUXURY,61,no match at all
35482,MERCEDES-BENZ,A45,45 S,MERCEDESBENZ A45 45 S,MERCEDESBENZ SLCLASS SL350 35 AMG,86,no match at all
39909,MERCEDES-BENZ,GLA200,200 (CBU),MERCEDESBENZ GLA200 200 CBU,MERCEDESBENZ ECLASS E200 18,80,no match at all
23762,ALPINE,A110,EDC,ALPINE A110 EDC,MERCEDESBENZ SLCCLASS SLC300 20 AMG LINE,67,no match at all
66702,ALFA-ROMEO,33,,ALFAROMEO 33 ,ALFA ROMEO NO GROUP 146 20 TI TSPARK,58,no match at all
66683,ALFA-ROMEO,33,,ALFAROMEO 33 ,ALFA ROMEO NO GROUP 146 20 TI TSPARK,58,no match at all
25203,BAW,HIACE,-,BAW HIACE ,TOYOTA NO GROUP HIACE 20,67,no match at all
1832,ALFA-ROMEO,4C-SPIDER,20I M SPORT (CKD),ALFAROMEO 4CSPIDER 20I M SPORT CKD,FIAT NO GROUP COUPE 20,55,no match at all
39606,MERCEDES-BENZ,E350,350 (CBU),MERCEDESBENZ E350 350 CBU,MERCEDESBENZ CCLASS C350 E 20 AVANTGARDE,80,no match at all
39881,MERCEDES-BENZ,GLA200,200 (CBU),MERCEDESBENZ GLA200 200 CBU,MERCEDESBENZ ECLASS E200 18,80,no match at all
39886,MERCEDES-BENZ,GLA200,200 (CBU),MERCEDESBENZ GLA200 200 CBU,MERCEDESBENZ ECLASS E200 18,80,no match at all
39895,MERCEDES-BENZ,GLA200,200 (CBU),MERCEDESBENZ GLA200 200 CBU,MERCEDESBENZ ECLASS E200 18,80,no match at all
39897,MERCEDES-BENZ,GLA200,200 (CBU),MERCEDESBENZ GLA200 200 CBU,MERCEDESBENZ ECLASS E200 18,80,no match at all
39916,MERCEDES-BENZ,GLA200,200 (CBU),MERCEDESBENZ GLA200 200 CBU,MERCEDESBENZ ECLASS E200 18,80,no match at all
39917,MERCEDES-BENZ,GLA200,200 (CBU),MERCEDESBENZ GLA200 200 CBU,MERCEDESBENZ ECLASS E200 18,80,no match at all
39919,MERCEDES-BENZ,GLA200,200 (CBU),MERCEDESBENZ GLA200 200 CBU,MERCEDESBENZ ECLASS E200 18,80,no match at all
39926,MERCEDES-BENZ,GLA200,200 (CBU),MERCEDESBENZ GLA200 200 CBU,MERCEDESBENZ ECLASS E200 18,80,no match at all
39928,MERCEDES-BENZ,GLA200,200 (CBU),MERCEDESBENZ GLA200 200 CBU,MERCEDESBENZ ECLASS E200 18,80,no match at all
39930,MERCEDES-BENZ,GLA200,200 (CBU),MERCEDESBENZ GLA200 200 CBU,MERCEDESBENZ ECLASS E200 18,80,no match at all
39931,MERCEDES-BENZ,GLA200,200 (CBU),MERCEDESBENZ GLA200 200 CBU,MERCEDESBENZ ECLASS E200 18,80,no match at all
39936,MERCEDES-BENZ,GLA200,200 (CBU),MERCEDESBENZ GLA200 200 CBU,MERCEDESBENZ ECLASS E200 18,80,no match at all
39938,MERCEDES-BENZ,GLA200,200 (CBU),MERCEDESBENZ GLA200 200 CBU,MERCEDESBENZ ECLASS E200 18,80,no match at all
39939,MERCEDES-BENZ,GLA200,200 (CBU),MERCEDESBENZ GLA200 200 CBU,MERCEDESBENZ ECLASS E200 18,80,no match at all
39941,MERCEDES-BENZ,GLA200,200 (CBU),MERCEDESBENZ GLA200 200 CBU,MERCEDESBENZ ECLASS E200 18,80,no match at all
40105,MERCEDES-BENZ,S400L-HYBRID,400 L (CBU),MERCEDESBENZ S400LHYBRID 400 L CBU,MERCEDESBENZ SCLASS S400L 30,71,no match at all
40118,MERCEDES-BENZ,S400L-HYBRID,400 L (CBU),MERCEDESBENZ S400LHYBRID 400 L CBU,MERCEDESBENZ SCLASS S400L 30,71,no match at all
100106,NETA,X,500 LUXURY,NETA X 500 LUXURY,LEXUS NO GROUP LS500 34 LUXURY,80,no match at all
100107,NETA,V,-,NETA V ,FERRARI NO GROUP F12BERLINETTA 63,83,no match at all
39331,MERCEDES-BENZ,E300,300 CABRIOLET,MERCEDESBENZ E300 300 CABRIOLET,MERCEDESBENZ SCLASS S560 E 30 EQ POWER DESIGNO PAINT,68,no match at all
66692,ALFA-ROMEO,33,,ALFAROMEO 33 ,ALFA ROMEO NO GROUP 146 20 TI TSPARK,58,no match at all
1129,ALFA-ROMEO,4C-SPIDER,20I M SPORT (CKD),ALFAROMEO 4CSPIDER 20I M SPORT CKD,FIAT NO GROUP COUPE 20,55,no match at all
35444,MERCEDES-BENZ,A45,45 S,MERCEDESBENZ A45 45 S,MERCEDESBENZ SLCLASS SL350 35 AMG,86,no match at all
89165,MERCEDES BENZ,300E,-,MERCEDES BENZ 300E ,MERCEDESBENZ EQ EQV 300 SPORT PREMIUM,78,no match at all
89183,MERCEDES BENZ,300SE,-,MERCEDES BENZ 300SE ,MERCEDESBENZ EQ EQV 300 SPORT PREMIUM,79,no match at all
89896,MERCEDES BENZ,SPRINTER,-,MERCEDES BENZ SPRINTER ,MERCEDESBENZ GLACLASS GLA250 20 4MATIC AMG SPORT,68,no match at all
38536,MERCEDES-BENZ,CLS350,350 STANDARD SPEC (CBU),MERCEDESBENZ CLS350 350 STANDARD SPEC CBU,MERCEDESBENZ CCLASS C200 15 SE,77,no match at all
