id,brand,model,variant,reason
111816,TOYOTA,VELOZ,,missing cleaned source data
55019,TOYOTA,INNOVA,G,low match score
111818,TOYOTA,AVANZA,E,low match score
7454,BMW,X,X6,no candidate match
59889,TOYOTA,CAMRY,V,low match score
60640,TOYOTA,CAMRY,G,low match score
111824,TOYOTA,CAMRY,G,low match score
60625,TOYOTA,WISH,S,low match score
102285,PERODUA,AXIA,G,low match score
6085,BMW,I,IX,no candidate match
63557,TOYOTA,INNOVA,G,low match score
52758,TOYOTA,LAND CRUISER II,,missing cleaned source data
53364,TOYOTA,VIOS,E,low match score
6106,BMW,2 SERIES,218I,no candidate match
13137,HONDA,STREAM,RSZ,low match score
33778,PROTON,X50,EXECUTIVE,no candidate match
51402,TOYOTA,VIOS,E,low match score
111847,TOYOTA,HARRIER,,missing cleaned source data
6094,BMW,X,X5,no candidate match
51421,TOYOTA,VIOS,J,low match score
6089,BMW,2 SERIES,218I,no candidate match
51411,TOYOTA,CAMRY,V,low match score
86483,BMW,7 SERIES,730LI,no candidate match
37971,MERCEDES-BENZ,SLK-CLASS,SLK200,no candidate match
6119,BMW,X,X3,no candidate match
110319,TOYOTA,CAMRY,V,low match score
62015,TOYOTA,VELOZ,,missing cleaned source data
102760,PERODUA,MYVI,AV,low match score
6110,BMW,X,X6,no candidate match
6132,BMW,X,X4,no candidate match
6113,BMW,X,X4,no candidate match
51906,TOYOTA,COROLLA ALTIS,E,low match score
51962,TOYOTA,CAMRY,G X,low match score
1487,BMW,3 SERIES,330E,no candidate match
110323,TOYOTA,CAMRY,V,low match score
51980,TOYOTA,YARIS,G,low match score
6126,BMW,5 SERIES,530E,no candidate match
110325,TOYOTA,YARIS,E,low match score
52032,TOYOTA,AVANZA,G,low match score
4732,BMW,X,X3,no candidate match
6121,BMW,3 SERIES,320I,no candidate match
110328,TOYOTA,VIOS,J,low match score
110331,TOYOTA,INNOVA,G,low match score
6118,BMW,5 SERIES,530E,no candidate match
6159,BMW,2 SERIES,218I,no candidate match
6147,BMW,5 SERIES,530I,no candidate match
